Gene name	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)
KIR2DP1	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1	54799680	54812030
			
KIR2DL1	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1	54769704	54783960
			
KIR3DL3	CHR_HSCHR19KIR_G085_A_HAP_CTG3_1	54724447	54736085
			
KIR2DS2	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1	54738568	54752475
			
KIR3DL1	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1	54814901	54878560
			
KIR2DL5B	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1	54771241	54780725
			
KIR2DL4	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1	54848193	54859216
			
LILRP2	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1	54707916	54713453
			
KIR3DL2	CHR_HSCHR19KIR_GRC212_AB_HAP_CTG3_1	54877123	54893917
			
KIR3DS1	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1	54802839	54817200
			
LILRP2	CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1	54707916	54713453
			
KIR2DS2	CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1	54738476	54752501
			
KIR2DS1	CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1	54847678	54861692
			
KIR2DS3	CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1	54830927	54845947
			
	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1	54814919	54820584
			
KIR3DL3	CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1	54724485	54736504
			
KIR2DL1	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1	54798381	54812886
			
KIR3DL2	CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1	54864251	54881045
			
LILRP1	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1	54700593	54700905
			
KIR2DS2	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1	54738519	54752638
			
	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1	54799595	54812147
			
KIR2DL2	CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1	54754632	54769000
			
KIR2DL4	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1	54848094	54859121
			
	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1	54703952	54704235
			
KIR2DP1	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1	54754928	54766523
			
KIR3DL2	CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1	54836820	54853592
			
KIR3DP1	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1	54786397	54790252
			
KIR3DL2	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1	54849551	54866326
			
KIR3DL1	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1	54816451	54830756
			
KIR2DS4	CHR_HSCHR19KIR_G085_A_HAP_CTG3_1	54832726	54848250
			
KIR2DL1	CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1	54769765	54784000
			
	CHR_HSCHR20_1_CTG3	64211718	64278487
			
KIR2DL1	CHR_HSCHR19KIR_G085_A_HAP_CTG3_1	54769756	54784259
			
	CHR_HSCHR1_1_CTG31	153734523	153735546
			
	CHR_HSCHR1_1_CTG31	153789602	153791310
			
Y_RNA	CHR_HSCHR1_1_CTG31	153802951	153803052
			
Y_RNA	CHR_HSCHR1_1_CTG31	153743483	153743584
			
CCDC92	CHR_HSCHR12_6_CTG2_1	123918723	123946006
			
Metazoa_SRP	CHR_HSCHR1_1_CTG31	153721328	153721625
			
Metazoa_SRP	CHR_HSCHR1_1_CTG31	153700659	153700956
			
KIR3DP1	CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1	54786406	54790261
			
LILRP1	CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1	54700593	54700905
			
KIR2DS3	CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1	54830865	54845301
			
KIR3DP1	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1	54831023	54842954
			
LILRP2	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1	54707916	54713453
			
KIR2DL5A	CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1	54819505	54829001
			
KIR2DS3	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1	54830903	54845777
			
KIR2DL4	CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1	54803571	54814487
			
KIR2DP1	CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1	54754976	54767325
			
KIR3DL1	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1	54861173	54875478
			
KRT40	CHR_HSCHR17_4_CTG4	40977843	40987262
			
KIR3DP1	CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1	54771219	54784641
			
KIR2DL2	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1	54754679	54769001
			
KIR3DP1	CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1	54786274	54790272
			
LILRP1	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1	54700593	54700905
			
KIR2DL3	CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1	54738514	54753065
			
LILRP2	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1	54707916	54713453
			
LILRP1	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1	54700593	54700905
			
LILRP1	CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1	54698377	54700905
			
	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1	54703952	54704235
			
LILRP1	CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1	54700593	54700905
			
KIR2DL5A	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1	54819459	54828923
			
KIR2DL2	CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1	54754600	54768961
			
	CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1	54703952	54704235
			
KIR2DL3	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1	54738530	54753070
			
KIR2DL4	CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1	54803541	54814525
			
KIR3DL2	CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1	54850300	54867064
			
KIR2DL4	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1	54803535	54814517
			
KIR3DS1	CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1	54802804	54817417
			
KRTAP1-1	CHR_HSCHR17_4_CTG4	41040684	41041586
			
	CHR_HSCHR17_4_CTG4	41054623	41055489
			
KIR2DL5B	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1	54755098	54764695
			
KIR2DL4	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1	54789815	54800891
			
KRTAP4-11	CHR_HSCHR17_4_CTG4	41117663	41118842
			
	CHR_HSCHR17_4_CTG4	40921430	40976053
			
KRTAP2-5P	CHR_HSCHR17_4_CTG4	41072178	41072573
			
KRTAP1-3	CHR_HSCHR17_4_CTG4	41034011	41034982
			
KRTAP4-16	CHR_HSCHR17_4_CTG4	41101921	41102628
			
KIR2DL3	CHR_HSCHR19KIR_GRC212_AB_HAP_CTG3_1	54738018	54752516
			
KRT12	CHR_HSCHR17_4_CTG4	40861303	40867210
			
	CHR_HSCHR12_6_CTG2_1	123927107	123935036
			
KIR2DS3	CHR_HSCHR19KIR_GRC212_AB_HAP_CTG3_1	54843950	54858409
			
KIR2DL3	CHR_HSCHR19KIR_G085_A_HAP_CTG3_1	54738465	54752989
			
KRTAP1-5	CHR_HSCHR17_4_CTG4	41026153	41027329
			
KRT39	CHR_HSCHR17_4_CTG4	40958544	40967019
			
LILRP2	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1	54707916	54713453
			
KIR3DS1	CHR_HSCHR19KIR_GRC212_AB_HAP_CTG3_1	54815911	54830525
			
KIR3DP1	CHR_HSCHR19KIR_G085_A_HAP_CTG3_1	54786292	54798222
			
LILRP2	CHR_HSCHR19KIR_G085_A_HAP_CTG3_1	54707916	54713453
			
KIR3DL3	CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1	54724481	54736671
			
KIR2DS5	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1	54782617	54797414
			
NCR1	CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1	54906121	54910036
			
KIR3DL1	CHR_HSCHR19KIR_G085_A_HAP_CTG3_1	54816441	54830746
			
KIR2DL5B	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1	54771198	54780682
			
KIR3DL2	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1	54880532	54897308
			
KIR3DL3	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1	54724478	54736594
			
KRTAP3-4P	CHR_HSCHR17_4_CTG4	41004608	41004887
			
KRTAP2-1	CHR_HSCHR17_4_CTG4	41046666	41047441
			
KIR2DL3	CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1	54738496	54752881
			
KIR3DL3	CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1	54724486	54736514
			
KRTAP3-3	CHR_HSCHR17_4_CTG4	40993557	40994260
			
KIR2DL1	CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1	54769705	54783961
			
KIR3DL2	CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1	54850408	54867186
			
KRTAP2-3	CHR_HSCHR17_4_CTG4	41059470	41060344
			
KRTAP4-12	CHR_HSCHR17_4_CTG4	41123559	41124635
			
KRTAP1-4	CHR_HSCHR17_4_CTG4	41029824	41030231
			
	CHR_HSCHR17_4_CTG4	41084386	41085542
			
KRTAP4-8	CHR_HSCHR17_4_CTG4	41097371	41098544
			
KIR3DL3	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1	54724448	54736134
			
KIR2DS1	CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1	54847887	54862123
			
KIR2DL5A	CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1	54819506	54828970
			
	CHR_HSCHR19KIR_G085_BA1_HAP_CTG3_1	54703952	54704235
			
KIR2DS2	CHR_HSCHR19KIR_G085_BA1_HAP_CTG3_1	54738560	54752721
			
LILRP2	CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1	54707916	54713453
			
LILRP2	CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1	54709037	54713341
			
KIR3DL3	CHR_HSCHR19KIR_ABC08_A1_HAP_CTG3_1	54724507	54736522
			
LINC01839	CHR_HSCHR3_5_CTG2_1	184510148	184513434
			
LINC02054	CHR_HSCHR3_5_CTG2_1	184426592	184444693
			
KIR2DS2	CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1	54738501	54769226
			
KIR3DS1	CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1	54802886	54817473
			
KIR2DL3	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1	54738484	54752990
			
KIR2DL4	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1	54803533	54814482
			
KIR3DL2	CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1	54850442	54867200
			
KIR3DL2	CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1	54864015	54880809
			
KIR2DS2	CHR_HSCHR19KIR_GRC212_BA1_HAP_CTG3_1	54738498	54752702
			
KIR3DL2	CHR_HSCHR19KIR_GRC212_BA1_HAP_CTG3_1	54835435	54852194
			
KIR3DL1	CHR_HSCHR19KIR_G085_BA1_HAP_CTG3_1	54802891	54817199
			
KIR3DP1	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1	54786355	54790318
			
LINC00254	CHR_HSCHR16_4_CTG1	1880310	1886269
			
KIR2DS4	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1	54832765	54848078
			
HS3ST6	CHR_HSCHR16_4_CTG1	1913487	1920464
			
LILRP2	CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1	54707916	54713453
			
KIR2DP1	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1	54755024	54767369
			
KIR2DL3	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1	54738506	54752764
			
MEIOB	CHR_HSCHR16_4_CTG1	1874025	1886319
			
	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1	54703952	54704235
			
LILRP1	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1	54700593	54700905
			
KIR3DL1	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1	54816470	54830813
			
KIR3DL3	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1	54724479	54736536
			
LINC02124	CHR_HSCHR16_4_CTG1	1891136	1892455
			
KIR3DL3	CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1	54724447	54736132
			
U6	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1	54913656	54913762
			
	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1	54799171	54811528
			
KIR2DL5B	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1	54770973	54780252
			
KIR2DS2	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1	54738243	54752150
			
KIR3DL2	CHR_HSCHR19KIR_G085_A_HAP_CTG3_1	54850406	54867200
			
KIR2DL2	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1	54754397	54768727
			
KIR3DL3	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1	54724203	54736221
			
KIR2DP1	CHR_HSCHR19KIR_ABC08_A1_HAP_CTG3_1	54754998	54767346
			
KIR2DL3	CHR_HSCHR19KIR_ABC08_A1_HAP_CTG3_1	54738499	54753027
			
KIR2DS1	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1	54847867	54861881
			
FCAR	CHR_HSCHR19KIR_ABC08_A1_HAP_CTG3_1	54874257	54890481
			
KIR3DL3	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1	54727609	54736462
			
KIR3DL2	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1	54850443	54867215
			
	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1	54783578	54795926
			
KIR2DL3	CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1	54738479	54753050
			
LILRP2	CHR_HSCHR19KIR_GRC212_AB_HAP_CTG3_1	54707923	54712937
			
KIR2DS5	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1	54766539	54781397
			
NCR1	CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1	54905329	54909244
			
	CHR_HSCHR19KIR_GRC212_AB_HAP_CTG3_1	54754487	54766832
			
U6	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1	54899032	54899138
			
	CHR_HSCHR19KIR_GRC212_AB_HAP_CTG3_1	54785929	54797435
			
KIR2DS1	CHR_HSCHR19KIR_GRC212_AB_HAP_CTG3_1	54860710	54875253
			
	CHR_HSCHR19_1_CTG2	20844829	20853768
			
FCAR	CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1	54873427	54889651
			
KIR3DL1	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1	54816438	54830737
			
KRT18P40	CHR_HSCHR19_1_CTG2	20967473	20971556
			
	CHR_HSCHR19_1_CTG2	20978678	20989626
			
KIR2DP1	CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1	54754958	54767306
			
KIR2DL1	CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1	54769825	54784337
			
ZNF430	CHR_HSCHR19_1_CTG2	21027036	21043218
			
	CHR_HSCHR18_2_CTG1_1	51687527	51688210
			
KIR2DL3	CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1	54738481	54752986
			
KIR2DL5A	CHR_HSCHR19KIR_GRC212_AB_HAP_CTG3_1	54832558	54842109
			
KIR2DL1	CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1	54769746	54783981
			
SNTG2	CHR_HSCHR2_3_CTG1	1209102	1269668
			
	CHR_HSCHR19_2_CTG2	21778251	21803339
			
ZNF43	CHR_HSCHR19_2_CTG2	21814429	21818511
			
KIR2DL4	CHR_HSCHR19KIR_GRC212_AB_HAP_CTG3_1	54802913	54813989
			
KIR2DP1	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1	54754924	54767305
			
	CHR_HSCHR19_2_CTG2	21809967	21810673
			
KIR2DS4	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1	54832694	54847510
			
ZNF100	CHR_HSCHR19_2_CTG2	21732245	21777028
			
IMPDH1P5	CHR_HSCHR10_1_CTG4	77780337	77781876
			
ADI1	CHR_HSCHR2_1_CTG1	3498728	3502360
			
DLG5	CHR_HSCHR10_1_CTG4	77790791	77926526
			
	CHR_HSCHR1_4_CTG31	144627218	144641637
			
KIR2DL1	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1	54769748	54784069
			
TRAPPC12	CHR_HSCHR2_1_CTG1	3401777	3486461
			
NCR1	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1	54977550	54981465
			
	CHR_HSCHR1_4_CTG31	144567601	144568743
			
	CHR_HSCHR1_4_CTG31	144561389	144568027
			
PPIAL4F	CHR_HSCHR1_4_CTG31	144592865	144593524
			
	CHR_HSCHR1_4_CTG31	144660404	144669313
			
KIR3DL3	CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1	54724451	54736098
			
	CHR_HSCHR19_1_CTG2	20815244	20822244
			
CCNYL6	CHR_HSCHR19_2_CTG2	21719001	21719670
			
